country,polyarchy,clientelism,corruption,womens_emp,gdp_pc,life_exp,education,region
Cuba,0.114,0.535,0.529,0.63,4.741,77,8.95,Latin America
Cyprus,0.798,0.186,0.172,0.784,25.425,76.7,8.457,The West
Czechia,0.88,0.07,0.278,0.897,21.293,75.2,10.753,Eastern Europe
Denmark,0.906,0.027,0.002,0.957,39.078,77.2,12.02,The West
Equatorial Guinea,0.188,0.857,0.913,0.377,13.025,57.6,NA,Africa
Estonia,0.871,0.128,0.038,0.913,14.923,71,11.261,Eastern Europe
Fiji,0.349,0.352,0.299,0.581,6.652,65.8,7.811,Asia
Finland,0.875,0.071,0.016,0.937,32.989,78,11.47,The West
Greece,0.885,0.207,0.236,0.897,23.381,78.4,9.87,The West
Guyana,0.53,0.481,0.651,0.811,5.365,64,8.313,Latin America
Hong Kong,0.374,0.221,0.056,0.916,NA,NA,NA,Asia
Iceland,0.871,0.086,0.013,0.921,39.533,80.3,10.601,The West
Israel,0.772,0.115,0.128,0.854,30.713,78.9,10.495,Middle East
Kuwait,0.285,0.613,0.532,0.347,43.56,78.1,NA,Middle East
Lithuania,0.823,0.181,0.076,0.86,11.926,72.2,10.192,Eastern Europe
Luxembourg,0.877,0.054,0.012,0.868,67.892,78,NA,The West
North Macedonia,0.44,0.63,0.63,0.676,7.808,71.5,NA,Eastern Europe
Malaysia,0.275,0.663,0.654,0.632,14.404,73,8.95,Asia
Malta,0.792,0.228,0.23,0.783,23.151,78.8,NA,The West
Mauritius,0.737,0.334,0.55,0.709,14.926,72.3,7.232,Africa
Montenegro,0.421,0.708,0.677,NA,5.621,73.7,NA,Eastern Europe
New Zealand,0.885,0.068,0.009,0.938,28.22,78.4,12.12,The West
Norway,0.889,0.032,0.005,0.951,47.435,78.9,12.41,The West
Oman,0.052,0.628,0.252,NA,20.779,69.1,NA,Middle East
Paraguay,0.543,0.814,0.9,0.627,5.27,75.6,6.67,Latin America
Romania,0.614,0.526,0.712,0.828,7.139,71.2,9.788,Eastern Europe
Sao Tome and Principe,0.651,0.403,0.411,0.785,2.019,65,NA,Africa
Saudi Arabia,0.017,0.578,0.647,NA,22.713,70.4,7.056,Middle East
Serbia,0.365,0.577,0.787,0.776,6.618,71.4,NA,Eastern Europe
Seychelles,0.366,0.388,0.404,0.803,19.147,72.2,9.843,Africa
Singapore,0.386,0.203,0.009,0.735,38.093,79.4,9.262,Asia
Slovakia,0.848,0.098,0.247,0.856,15.798,73.7,10.612,Eastern Europe
Slovenia,0.844,0.131,0.116,0.871,24.157,76.3,NA,Eastern Europe
Solomon Islands,0.351,0.772,0.508,0.344,2.142,57,NA,Asia
Vanuatu,0.602,0.598,0.528,0.66,3.058,63.6,NA,Asia
United Arab Emirates,0.026,0.724,0.149,0.236,93.333,69.1,NA,Middle East
Hungary,0.848,0.305,0.369,0.872,14.559,71.9,10.75,Eastern Europe
Zanzibar,0.288,0.463,0.769,NA,NA,NA,NA,Africa
